Unnamed: 0|Unnamed: 0.1|Date_x|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|prctChangeOPEN|TargetProbability|Date_y|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
453|453|2013-10-22|94.11|94.55|93.78|94.11|1774743|USD|453|1.005|0.4780430366465063|2018-02-21|3|2018-02-21|3|2018-02-21|3
454|454|2013-10-23|94.54|94.54|93.05|93.32|1399804|USD|454|0.998|0.4702647232491914|2018-02-22|3|2018-02-22|3|2018-02-22|3
455|455|2013-10-24|94.32|94.58|93.81|94.09|622482|USD|455|1.001|0.4608066960964512|2018-02-23|1|2018-02-23|1|2018-02-23|1
456|456|2013-10-25|94.45|94.47|93.44|94.31|599943|USD|456|0.995|0.4777924402707177|2018-02-26|6|2018-02-26|6|2018-02-26|6
457|457|2013-10-28|93.96|94.62|93.83|94.33|544667|USD|457|1.0070000000000001|0.4767590351563633|2018-02-27|2|2018-02-27|2|2018-02-27|2
458|458|2013-10-29|94.61|94.92|93.95|94.2|1003990|USD|458|1.001|0.4702525650812198|2018-02-28|2|2018-02-28|2|2018-02-28|2
459|459|2013-10-30|94.72|94.91|93.42|94.64|698618|USD|459|1.0|0.4541923819970463|2018-03-01|2|2018-03-01|2|2018-03-01|2
460|460|2013-10-31|94.71|95.05|94.06|94.69|472838|USD|460|0.992|0.4414738828393762|2018-03-02|2|2018-03-02|2|2018-03-02|2
461|461|2013-11-01|93.96|94.36|92.39|92.65|762329|USD|461|0.981|0.4424303824021471|2018-03-05|1|2018-03-05|1|2018-03-05|1
462|462|2013-11-04|92.18|92.41|91.57|91.77|1016314|USD|462|0.977|0.4565005089862229|2018-03-06|1|2018-03-06|1|2018-03-06|1
463|463|2013-11-05|90.06|91.05|89.77|90.52|797453|USD|463|1.006|0.4877505540850731|2018-03-07|2|2018-03-07|2|2018-03-07|2
464|464|2013-11-06|90.59|91.12|90.2|90.54|884841|USD|464|0.981|0.4989136368319058|2018-03-08|2|2018-03-08|2|2018-03-08|2
465|465|2013-11-07|88.87|89.21|87.26|87.3|1502203|USD|465|0.975|0.5324269800919157|2018-03-09|1|2018-03-09|1|2018-03-09|1
466|466|2013-11-08|86.66|87.81|86.34|87.37|1012931|USD|466|1.012|0.5789993054817141|2018-03-12|2|2018-03-12|2|2018-03-12|2
467|467|2013-11-11|87.66|88.06|87.22|87.38|1511768|USD|467|0.9890000000000001|0.5579243974565378|2018-03-13|2|2018-03-13|2|2018-03-13|2
468|468|2013-11-12|86.68|87.15|86.11|86.94|1965645|USD|468|1.0|0.5841025848083116|2018-03-14|2|2018-03-14|2|2018-03-14|2
469|469|2013-11-13|86.67|87.82|86.59|87.68|2201485|USD|469|1.022|0.6039661398076381|2018-03-15|4|2018-03-15|4|2018-03-15|4
470|470|2013-11-14|88.6|89.08|87.88|88.9|3110803|USD|470|1.005|0.5759638084212805|2018-03-16|2|2018-03-16|2|2018-03-16|2
471|471|2013-11-15|89.04|89.93|88.4|89.93|1255867|USD|471|1.004|0.5581077581217789|2018-03-26|1|2018-03-26|1|2018-03-26|1
472|472|2013-11-18|89.44|89.83|88.71|88.86|969872|USD|472|1.005|0.5418804308367634|2018-03-27|5|2018-03-27|5|2018-03-27|5
473|473|2013-11-19|89.93|90.05|88.53|89.12|1573492|USD|473|0.9940000000000001|0.5323286293236041|2018-03-28|3|2018-03-28|3|2018-03-28|3
474|474|2013-11-20|89.43|89.69|88.28|88.33|911565|USD|474|1.0|0.5222684402999704|2018-03-29|1|2018-03-29|1|2018-03-29|1
475|475|2013-11-21|89.4|90.18|89.3|89.92|1385667|USD|475|1.015|0.4955991072075568|2018-04-03|3|2018-04-03|3|2018-04-03|3
476|476|2013-11-22|90.76|91.84|90.59|91.72|1245233|USD|476|1.015|0.4819472572593453|2018-04-04|2|2018-04-04|2|2018-04-04|2
477|477|2013-11-25|92.14|92.49|91.63|92.08|760826|USD|477|1.004|0.4843228144190768|2018-04-05|1|2018-04-05|1|2018-04-05|1
478|478|2013-11-26|92.53|92.99|91.93|92.76|1075616|USD|478|1.012|0.4742493635198386|2018-04-09|1|2018-04-09|1|2018-04-09|1
479|479|2013-11-27|93.65|93.84|93.2|93.59|601630|USD|479|1.004|0.4578000489369157|2018-04-10|1|2018-04-10|1|2018-04-10|1
480|480|2013-11-29|94.01|94.09|93.28|93.38|423981|USD|480|0.996|0.4542689457539792|2018-04-11|1|2018-04-11|1|2018-04-11|1
