tweet|covering_link
"Today David Parker refused to resign as Attorney-General if the Supreme 
Court holds that the ‘lockdown’ prior to Parliament passing the COVID-19 
public health legislation was illegal. If he released the legal advice he 
says states that the lockdown was legal,"|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWo3MzdPQWtJQU1FWHVfdy13d1Y1QnRLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"‘Solitary confinement in my bedroom’: Illinois attorney general describes 
his COVID-19 symptoms "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWo3MzdPQWtJQU1FWHVfdy13d1Y1QnRLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
 via @SunTimes|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWo3MzdPQWtJQU1FWHVfdy13d1Y1QnRLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"""I'm going to leave the conversations about vetting to the Biden campaign,"" 
@staceyabrams tells @mitchellreports reports when pressed about VP convos 
with team @JoeBiden"|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpmejVlRGtJQU1FZnhlLTMzXzhBS3pLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
".@The_SEAP published our 1st research paper. From environmental justice 
work in college to my legislative efforts + advocacy through 
@WorldWarZeroOrg & @ClimatePower, I know that #ClimateAction is central to 
dismantling systemic inequities in the South. "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpmejVlRGtJQU1FZnhlLTMzXzhBS3pLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"Tomorrow I’m interviewing @staceyabrams and I CAN’T WAIT. Sign up to join 
the convo: "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpmejVlRGtJQU1FZnhlLTMzXzhBS3pLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
 |https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpmejVlRGtJQU1FZnhlLTMzXzhBS3pLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"My new book, #OurTimeIsNow, focuses on protecting the right to vote, the 
importance of safeguarding democracy in our country and around the world, 
and how you can be a part of the solution. Order yours today: 
"|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpmejVlRGtJQU1FZnhlLTMzXzhBS3pLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"Got a garden for Father’s Day from lovely wifey. Also Restorative Farms 
benefits local community. Some sage advice: Don’t parsley this up. Kale, 
Yeah! Ok bye "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpMeTd1QmtJQU1FZVFvSmtfeTUzNUhLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"My kids are the best, and my younger one made me a tie for Father’s Day. I 
told him I’d wear it on a special occasion, and, well, today seemed to 
qualify. "|https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpMeTd1QmtJQU1FZVFvSmtfeTUzNUhLQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
